Model,Accuracy,Precision,Recall,F1,ROC AUC
Logistic Regression,0.7619047619047619,0.6477272727272727,0.7037037037037037,0.6745562130177515,0.8353909465020576
Random Forest,0.7489177489177489,0.6419753086419753,0.6419753086419753,0.6419753086419753,0.8321810699588477
XGBoost,0.7272727272727273,0.6125,0.6049382716049383,0.6086956521739131,0.796954732510288
SVM,0.7489177489177489,0.6419753086419753,0.6419753086419753,0.6419753086419753,0.8347325102880658
DNN,0.7489177489177489,0.6419753086419753,0.6419753086419753,0.6419753086419753,0.8347325102880658
